model,accuracy,time
Ada_Boost_Classifier,84.48,633
Ada_Boost_Classifier,84.48,634
Ada_Boost_Classifier,81.49,635
Ada_Boost_Classifier,74.27,636
Ada_Boost_Classifier,81.49,637
Ada_Boost_Classifier,95.3,638
Ada_Boost_Classifier,93.0,639
Ada_Boost_Classifier,81.49,640
Ada_Boost_Classifier,78.11,641
Ada_Boost_Classifier,84.48,642
Ada_Boost_Classifier,81.49,643
Ada_Boost_Classifier,93.0,644
Ada_Boost_Classifier,74.27,645
Ada_Boost_Classifier,81.49,646
Ada_Boost_Classifier,74.27,647
Ada_Boost_Classifier,93.0,648
Ada_Boost_Classifier,84.48,649
Ada_Boost_Classifier,93.0,650
Ada_Boost_Classifier,84.48,651
Ada_Boost_Classifier,81.49,652
Ada_Boost_Classifier,74.27,653
Ada_Boost_Classifier,81.49,654
Ada_Boost_Classifier,91.49,655
Ada_Boost_Classifier,81.49,656
Ada_Boost_Classifier,81.49,657
Ada_Boost_Classifier,93.0,658
Ada_Boost_Classifier,93.0,659
Ada_Boost_Classifier,81.49,660
Ada_Boost_Classifier,93.0,661
Ada_Boost_Classifier,84.48,662
Ada_Boost_Classifier,81.49,663
Ada_Boost_Classifier,81.49,664
Ada_Boost_Classifier,84.48,665
Ada_Boost_Classifier,78.11,666
Ada_Boost_Classifier,84.48,667
Ada_Boost_Classifier,91.49,668
Ada_Boost_Classifier,84.48,669
Ada_Boost_Classifier,84.48,670
Ada_Boost_Classifier,81.49,671
Ada_Boost_Classifier,93.0,672
Ada_Boost_Classifier,93.0,673
Ada_Boost_Classifier,95.3,674
Ada_Boost_Classifier,95.3,675
Ada_Boost_Classifier,81.49,676
Ada_Boost_Classifier,74.27,677
Ada_Boost_Classifier,81.49,678
Ada_Boost_Classifier,84.48,679
Ada_Boost_Classifier,95.3,680
Ada_Boost_Classifier,78.11,681
Ada_Boost_Classifier,77.9,682
Ada_Boost_Classifier,95.3,683
Ada_Boost_Classifier,84.48,684
Ada_Boost_Classifier,81.49,685
Ada_Boost_Classifier,84.48,686
Ada_Boost_Classifier,74.27,687
Ada_Boost_Classifier,84.48,688
Ada_Boost_Classifier,93.0,689
Ada_Boost_Classifier,81.49,690
Ada_Boost_Classifier,81.49,691
Ada_Boost_Classifier,93.0,692
Ada_Boost_Classifier,93.0,693
Ada_Boost_Classifier,81.5,694
Ada_Boost_Classifier,81.49,695
Ada_Boost_Classifier,84.48,696
Ada_Boost_Classifier,81.49,697
Ada_Boost_Classifier,74.27,698
Ada_Boost_Classifier,94.25,699
Ada_Boost_Classifier,81.49,700
Ada_Boost_Classifier,84.48,701
Ada_Boost_Classifier,74.27,702
Ada_Boost_Classifier,78.11,703
Ada_Boost_Classifier,74.27,704
Ada_Boost_Classifier,81.49,705
Ada_Boost_Classifier,81.49,706
Ada_Boost_Classifier,81.49,707
Ada_Boost_Classifier,81.49,708
Ada_Boost_Classifier,74.27,709
Ada_Boost_Classifier,81.49,710
Ada_Boost_Classifier,81.5,711
Ada_Boost_Classifier,84.48,712
Ada_Boost_Classifier,74.27,713
Ada_Boost_Classifier,84.48,714
Ada_Boost_Classifier,74.27,715
Ada_Boost_Classifier,95.3,716
Ada_Boost_Classifier,93.0,717
Ada_Boost_Classifier,81.49,718
Ada_Boost_Classifier,78.11,719
